,Pós-venda/Cancelado/Devolvido,Nº de Pedido da Plataforma,Custo Médio,SKU,SKU (Armazém)
1696,Ocorreu,582637685867251278,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1697,Ocorreu,582637685867251278,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1698,Ocorreu,582637685867251278,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1699,Ocorreu,582637685867251278,10.0,ME-10-Coelho-Rosa-35-40,ME-10-Coelho-Rosa-35-40
1700,Ocorreu,582637663893226674,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1701,Ocorreu,582637663893226674,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1702,Ocorreu,582637649847157879,10.0,ME-10-Bailarina-35-40,ME-10-Bailarina-35-40
1703,Ocorreu,582637651904398742,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1704,Ocorreu,582637655897310898,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1705,Cancelado,582637683935511651,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1706,Cancelado,582637658176259311,10.0,ME-10-Corrida-35-40,ME-10-Corrida-35-40
1707,Cancelado,582637658176259311,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1708,Cancelado,582637658176259311,10.0,ME-10-Tubarão-35-40,ME-10-Tubarão-35-40
1709,Cancelado,582637648396977269,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1710,Ocorreu,582637629513696770,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1711,Ocorreu,582637629513696770,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1712,Ocorreu,582637627098564596,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1713,Ocorreu,582637627098564596,10.0,ME-10-Bailarina-35-40,ME-10-Bailarina-35-40
1714,Ocorreu,582637646844102594,10.0,ME-10-Tubarão-35-40,ME-10-Tubarão-35-40
1715,Ocorreu,582637639317357613,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1716,Ocorreu,582637582978811026,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1717,Ocorreu,582637582978811026,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1718,Ocorreu,582637666552349908,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1719,Cancelado,582637639206929671,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1720,Ocorreu,582637621485471559,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1721,Ocorreu,582637624055924524,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1722,Ocorreu,582637624055924524,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1723,Ocorreu,582637624055924524,10.0,ME-10-Tubarão-35-40,ME-10-Tubarão-35-40
1724,Cancelado,582637580297340286,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1725,Cancelado,582637580297340286,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1726,Ocorreu,582637591043999048,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1727,Ocorreu,582637591043999048,10.0,ME-10-Tubarão-35-40,ME-10-Tubarão-35-40
1728,Ocorreu,582637600707413034,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1729,Ocorreu,582637600707413034,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1730,Ocorreu,582637548279137955,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1731,Ocorreu,582637557766915750,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1732,Ocorreu,582637598165206550,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1733,Ocorreu,582637554473403764,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1734,Ocorreu,582637554473403764,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1735,Ocorreu,582637554473403764,10.0,ME-10-Tubarão-35-40,ME-10-Tubarão-35-40
1736,Cancelado,582637575999620220,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1737,Cancelado,582637575999620220,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1738,Ocorreu,582637564989244884,10.0,ME-10-Coelho-Rosa-35-40,ME-10-Coelho-Rosa-35-40
1739,Cancelado,582637545696495106,10.0,ME-10-Bailarina-35-40,ME-10-Bailarina-35-40
1740,Ocorreu,582637537084606377,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1741,Cancelado,582637544168654329,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1742,Ocorreu,582637536635160161,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1743,Ocorreu,582637536635160161,10.0,ME-10-Bailarina-35-40,ME-10-Bailarina-35-40
1744,Ocorreu,582637550680310885,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1745,Ocorreu,582637521271031505,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1746,Ocorreu,582637521271031505,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1747,Ocorreu,582637521271031505,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1748,Ocorreu,582637521271031505,10.0,ME-10-Tubarão-35-40,ME-10-Tubarão-35-40
1749,Ocorreu,582637521271031505,10.0,ME-10-Tubarão-35-40,ME-10-Tubarão-35-40
1750,Ocorreu,582637521271031505,10.0,ME-10-Bailarina-35-40,ME-10-Bailarina-35-40
1751,Ocorreu,582637500392047733,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1752,Ocorreu,582637500520498931,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1753,Ocorreu,582637500520498931,10.0,ME-10-Cachorro-Bulldog-35-40,ME-10-Cachorro-Bulldog-35-40
1754,Ocorreu,582637487787116034,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1755,Ocorreu,582637488314091487,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1756,Ocorreu,582637507759015673,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1757,Ocorreu,582637527491512026,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1758,Ocorreu,582637497662538954,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1759,Ocorreu,582637458183587103,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1760,Ocorreu,582637506915108801,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1761,Ocorreu,582637506915108801,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1762,Ocorreu,582637493246723242,10.0,ME-10-Bailarina-35-40,ME-10-Bailarina-35-40
1763,Ocorreu,582637467843004359,10.0,ME-10-Cachorro-Bulldog-35-40,ME-10-Cachorro-Bulldog-35-40
1764,Ocorreu,582637467352990996,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1765,Cancelado,582637495211427231,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1766,Cancelado,582637503924700428,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1767,Ocorreu,582637496170939788,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1768,Ocorreu,582637435021460503,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
