,Order ID,Package ID,Quantity,SKU Subtotal After Discount,SKU Unit Original Price,SKU Subtotal Before Discount,Sku Quantity of return,Seller SKU
1527,582637575999620220,Cancelado,1,16.81,35.0,35.0,1,ME-10-Coelho-35-40
1528,582637564989244884,1186295457613710804,1,18.35,35.0,35.0,0,ME-10-Coelho-Rosa-35-40
1529,582637545696495106,Cancelado,1,20.39,35.0,35.0,1,ME-10-Bailarina-35-40
1530,582637537084606377,1186295614661232553,1,17.72,35.0,35.0,0,ME-10-Coelho-35-40
1531,582637544168654329,Cancelado,1,17.8,35.0,35.0,1,ME-10-Cachorro- Caramelo-35-40
1532,582637536635160161,1186294994794481249,1,19.98,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
1533,582637536635160161,1186294994794481249,1,19.98,35.0,35.0,0,ME-10-Bailarina-35-40
1534,582637550680310885,1186294782992876645,1,18.9,35.0,35.0,0,ME-10-Unicornio-35-40
1535,582637521271031505,1186294974976132817,2,35.47,35.0,70.0,0,ME-10-Tubarão-35-40
1536,582637521271031505,1186294974976132817,1,17.75,35.0,35.0,0,ME-10-Bailarina-35-40
1537,582637521271031505,1186294974976132817,1,17.74,35.0,35.0,0,ME-10-Unicornio-35-40
1538,582637521271031505,1186294974976132817,1,17.13,35.0,35.0,0,ME-10-Coelho-35-40
1539,582637521271031505,1186294974976132817,2,35.48,35.0,70.0,0,ME-10-Robô-35-40
1540,582637500392047733,1186295133663495285,1,18.35,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
1541,582637500520498931,1186294571624204019,1,17.94,35.0,35.0,0,ME-10-Cachorro-Bulldog-35-40
1542,582637500520498931,1186294571624204019,1,17.94,35.0,35.0,0,ME-10-Robô-35-40
1543,582637487787116034,1186294747859027458,1,17.72,35.0,35.0,0,ME-10-Coelho-35-40
1544,582637488314091487,1186294744043325407,1,18.35,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1545,582637507759015673,1186295453292070649,1,18.35,35.0,35.0,0,ME-10-Robô-35-40
1546,582637527491512026,1186294402905573082,1,18.35,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1547,582637497662538954,1186294228701840586,1,17.72,35.0,35.0,0,ME-10-Coelho-35-40
1548,582637458183587103,1186294567450936607,1,18.35,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1549,582637506915108801,1186294757237360577,1,17.4,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1550,582637506915108801,1186294757237360577,1,17.4,35.0,35.0,0,ME-10-Unicornio-35-40
1551,582637493246723242,1186294226626446506,1,20.39,35.0,35.0,0,ME-10-Bailarina-35-40
1552,582637467843004359,1186294216955496391,2,35.88,35.0,70.0,0,ME-10-Cachorro-Bulldog-35-40
1553,582637467352990996,1186294362886145300,1,18.35,35.0,35.0,0,ME-10-Unicornio-35-40
1554,582637495211427231,Cancelado,1,17.72,35.0,35.0,1,ME-10-Coelho-35-40
1555,582637503924700428,Cancelado,1,17.72,35.0,35.0,1,ME-10-Coelho-35-40
1556,582637496170939788,1186294352414541196,1,18.35,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1557,582637435021460503,1186294357632517143,1,17.2,35.0,35.0,0,ME-10-Robô-35-40
1558,582637435021460503,1186294357632517143,1,17.2,35.0,35.0,0,ME-10-Cachorro-Bulldog-35-40
1559,582637435021460503,1186294357632517143,1,17.21,35.0,35.0,0,ME-10-Unicornio-35-40
1560,582637435021460503,1186294357632517143,1,16.62,35.0,35.0,0,ME-10-Coelho-35-40
1561,582637474625128047,1186294686165468783,1,18.35,35.0,35.0,0,ME-10-Tubarão-35-40
1562,582637440416974357,1186294908880389653,1,10.8,20.0,20.0,0,MASG-MC-Preto-40-46
1563,582637435418085104,Cancelado,1,17.72,35.0,35.0,1,ME-10-Coelho-35-40
1564,582637475909568078,1186295035073955406,1,18.35,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1565,582637454621312430,1186294184505214382,1,17.73,35.0,35.0,0,ME-10-Tubarão-35-40
