,SKU,SKU Seller,Custo Médio
242,21011-43,21011-43,56.2392
243,21011-43,21011-43,56.2392
244,21011-43,21011-43,56.2392
245,21011-42,21011-42,17.0
246,21011-42,21011-42,17.0
247,21011-42,21011-42,17.0
248,21011-41,21011-41,17.0
249,21011-41,21011-41,17.0
250,21011-41,21011-41,17.0
251,21011-40,21011-40,74.7202
252,21011-40,21011-40,74.7202
253,21011-40,21011-40,74.7202
254,21011-40,21011-40,74.7202
255,21009-45,21009-45,34.9987
256,21009-45,21009-45,34.9987
257,21009-45,21009-45,34.9987
258,21009-45,21009-45,34.9987
259,21009-44,21009-44,27.999599999999997
260,21009-44,21009-44,27.999599999999997
261,21009-44,21009-44,27.999599999999997
262,21009-44,21009-44,27.999599999999997
263,21009-43,21009-43,15.0
264,21009-43,21009-43,15.0
265,21009-43,21009-43,15.0
266,21009-43,21009-43,15.0
267,21009-42,21009-42,15.0
268,21009-42,21009-42,15.0
269,21009-42,21009-42,15.0
270,21009-42,21009-42,15.0
271,21009-41,21009-41,96.0
272,21009-41,21009-41,96.0
273,21009-41,21009-41,96.0
274,21009-41,21009-41,96.0
275,21009-40,21009-40,12.999599999999997
276,21009-40,21009-40,12.999599999999997
277,21009-40,21009-40,12.999599999999997
278,21009-40,21009-40,12.999599999999997
279,21010-45,21010-45,15.0
280,21010-45,21010-45,15.0
281,21010-45,21010-45,15.0
282,21010-44,21010-44,90.0
283,21010-44,21010-44,90.0
284,21010-43,21010-43,12.0
285,21010-43,21010-43,12.0
286,21010-42,21010-42,18.3332
287,21010-42,21010-42,18.3332
288,21010-42,21010-42,18.3332
289,21010-41,21010-41,20.774
290,21010-41,21010-41,20.774
291,21010-41,21010-41,20.774
292,21010-40,21010-40,14.0
293,21010-40,21010-40,14.0
294,21010-40,21010-40,14.0
295,B004,--B004-1 Pacotinho,13.0
296,B003,--B003-1 Pacotinho,13.3332
297,MALG-M01-Preto-40-46*6,MALG-M01-Preta-38-46-6 Pares,25.007400000000004
298,MALG-M01-Preto-40-46*4,MALG-M01-Preto-40-46*4,16.6716
299,MALG-M01-Preto-40-46*4,MALG-M01-Preto-40-46*4,16.6716
300,21072-37/38,21072,15.0
301,21072-35/36,21072,12.5
302,21030-Bege-41,21030-41,23.0
303,21030-Bege-41,21030-41,23.0
304,21030-Bege-40,21030-40,23.0
305,21030-Bege-37,21030-37,25.0
306,21030-Bege-36,21030-36,3.0
307,21002-41,21002-41,24.0
308,21002-40,21002-40,24.0
309,21002-39,21002-39,24.0
310,21002-38,21002-38,24.0
311,21002-38,21002-38,24.0
312,21002-37,21002-37,24.0
313,21002-37,21002-37,24.0
314,21002-36,21002-36,6.0
315,21002-36,21002-36,6.0
316,21001-41,21001-41,6.0
317,21001-40,21001-40,6.0
318,21001-39,21001-39,6.0
319,21001-38,21001-38,6.0
320,21001-37,21001-37,6.0
321,21001-36,21001-36,6.0
322,21001-36,21001-36,6.0
323,21003-41,21003-41,6.0
324,21003-40,21003-40,6.0
325,21003-40,21003-40,6.0
326,21003-39,21003-39,6.0
327,21003-39,21003-39,6.0
328,21003-38,21003-38,6.0
329,21003-38,21003-38,6.0
330,21003-38,21003-38,6.0
331,21003-37,21003-37,6.0
332,21003-36,21003-36,6.0
333,21003-36,21003-36,6.0
334,21008-41,21008-41,6.0
335,21008-41,21008-41,6.0
336,21008-41,21011-41,6.0
337,21008-41,21006-42,6.0
338,21008-41,21008-41,6.0
339,21008-40,21008-40,6.0
340,21008-40,21008-40,6.0
341,21008-40,21008-40,6.0
342,21008-40,21008-40,6.0
343,21008-39,21008-39,6.0
344,21008-39,21008-39,6.0
345,21008-39,21008-39,6.0
346,21008-39,21008-39,6.0
347,21008-38,21008-38,6.0
348,21008-38,21008-38,6.0
349,21008-38,21008-38,6.0
350,21008-38,21008-38,6.0
351,21008-37,21008-37,6.0
352,21008-37,21008-37,6.0
353,21008-37,21008-37,6.0
354,21008-37,21008-37,6.0
355,21008-36,21008-36,6.0
356,21008-36,21008-36,6.0
357,21008-36,21008-36,6.0
358,21008-36,21008-36,6.0
359,21006-41,21006-41,6.0
360,21006-41,21006-41,6.0
361,21006-41,21006-41,6.0
362,21006-40,21006-40,6.0
363,21006-40,210007-40,6.0
364,21006-40,21006-40,6.0
365,21006-39,21006-39,6.0
366,21006-39,21006-39,6.0
367,21006-39,21006-39,6.0
368,21006-39,21006-39,6.0
369,21006-38,21006-38,6.0
370,21006-38,21006-38,6.0
371,21006-38,21006-38,6.0
372,21006-38,21006-38,6.0
373,21006-37,21006-37,6.0
374,21006-37,21006-37,6.0
375,21006-37,21006-37,6.0
376,21006-37,21006-37,6.0
377,21006-36,21006-36,6.0
378,21006-36,21006-36,6.0
379,21006-36,21006-36,6.0
380,21006-36,21006-36,6.0
381,21007-41,21007-41,6.0
382,21007-41,21007-41,6.0
383,21007-41,21007-41,6.0
384,21007-41,21007-41,6.0
385,21007-40,21007-40,6.0
386,21007-40,21007-40,6.0
387,21007-40,21007-40,6.0
388,21007-40,21007-40,6.0
389,21007-39,21007-39,6.0
390,21007-39,21030-39,6.0
391,21007-39,21007-39,6.0
392,21007-39,21007-39,6.0
393,21007-39,21007-39,6.0
394,21007-38,21007-38,6.0
395,21007-38,21030-38,6.0
396,21007-38,21007-38,6.0
397,21007-38,21007-38,6.0
398,21007-38,21007-38,6.0
399,21007-37,21007-37,6.0
400,21007-37,21007-37,6.0
401,21007-37,21007-37,6.0
402,21007-37,21007-37,6.0
403,21007-36,21007-36,6.0
404,21007-36,21007-36,6.0
405,21007-36,21007-36,6.0
406,21007-36,21007-36,6.0
407,MASG-MC-Preto-38-46-Kit 12 Pares,MASG-MC-Preto-38-46-Kit 12 Pares,74.9772
408,21082-39-40,21082-39,6.0
409,21082-39-40,21082-40,6.0
410,21080-39-40,21080-39,6.0
411,21080-39-40,21080-40,6.0
412,21077-37-38,21077-37-38,16.0
413,21077-37-38,21077-37-38,16.0
414,21077-37-38,21077-37-38,16.0
415,21077-37-38,21077-37-38,16.0
416,21077-37-38,1734161991943423243,16.0
417,21077-37-38,1734161991943423243,16.0
418,21077-35-36,21077-35-36,16.0
419,21077-35-36,21077-35-36,16.0
420,21077-35-36,21077-35-36,16.0
421,21077-35-36,21077-35-36,16.0
422,21077-35-36,1734161991943423243,16.0
423,21077-35-36,1734161991943423243,16.0
424,21012-45,21012-45,6.0
425,21012-45,21012-45,6.0
426,21012-45,21012-45,6.0
427,21012-45,21012,6.0
428,21012-44,21012-44,6.0
429,21012-43,21012-43,3.0
430,21012-43,21012-43,3.0
431,21012-43,21012,3.0
432,21012-42,21012-42,3.0
433,21012-42,21012-42,3.0
434,21012-42,21012,3.0
435,21012-40,21012-40,16.0
436,21012-40,21012-40,16.0
437,21012-40,21012-40,16.0
438,23316,--23316-1 Pacotinho,16.0
439,21079-39-40,21079-35,16.0
440,21079-39-40,21079-40,16.0
441,21027-41,21027-Preto-41CH-39BR,16.0
442,21027-41,21027-41,16.0
443,21027-39,21027-Preto-39CH-37BR,16.0
444,21027-37,21029-37,16.0
445,21014-45,21014-45,16.0
446,21014-45,21014-45,16.0
447,21014-45,21014,16.0
448,21014-40,21014-40,16.0
449,21014-40,21014-40,16.0
450,21014-40,21014-40,16.0
451,21014-44,21014-44,16.0
452,21014-44,21014-44,16.0
453,21014-44,21014-44,16.0
454,21014-44,21014,16.0
455,21014-43,21014-43,16.0
456,21014-43,21014-43,16.0
457,21014-43,21014-43,16.0
458,21014-43,21014,16.0
459,21014-41,21014-41,16.0
460,21014-41,21014,16.0
461,21014-41,21014-41,16.0
462,PEBCN-BBFL-12-24,PEBCN-BBFL-12-24,16.0
463,QS-LM-F02-35-40-Verde*2,QS-LM-F02-Verde Gradiente-35-42-2 Pares,12.0
464,QS-LM-F02-35-40-Azul*2,QS-LM-F02-Azul Gradiente-35-42-2 Pares,12.0
465,QS-LM-F02-35-40-Azul*2,QS-LM-F02-Azul Gradiente-35-42-2 Pares,12.0
466,QS-LM-F02-35-40-Amarelo*2,QS-LM-F02-Amarelo Gradiente-35-42-2 Pares,12.0
